"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","GRADRATEFIELD","HEALTH","PC","A","2017",17.417,
"PRT","GRADRATEFIELD","HEALTH","PC","A","2018",17.507,
"PRT","GRADRATEFIELD","BUSINESS","PC","A","2016",19.085,
"PRT","GRADRATEFIELD","BUSINESS","PC","A","2017",19.368,
"PRT","GRADRATEFIELD","BUSINESS","PC","A","2018",20.271,
"PRT","GRADRATEFIELD","ENGINEERING","PC","A","2016",21.276,
"PRT","GRADRATEFIELD","ENGINEERING","PC","A","2017",20.914,
"PRT","GRADRATEFIELD","ENGINEERING","PC","A","2018",19.591,
"SVK","GRADRATEFIELD","EDU","PC","A","2016",13.129,
"SVK","GRADRATEFIELD","EDU","PC","A","2017",12.777,
"SVK","GRADRATEFIELD","EDU","PC","A","2018",13.657,
"SVK","GRADRATEFIELD","HEALTH","PC","A","2016",17.761,
"SVK","GRADRATEFIELD","HEALTH","PC","A","2017",18.178,
"SVK","GRADRATEFIELD","HEALTH","PC","A","2018",16.511,
"SVK","GRADRATEFIELD","BUSINESS","PC","A","2016",20.334,
"SVK","GRADRATEFIELD","BUSINESS","PC","A","2017",20.378,
"SVK","GRADRATEFIELD","BUSINESS","PC","A","2018",20.069,
"SVK","GRADRATEFIELD","ENGINEERING","PC","A","2016",12.431,
"SVK","GRADRATEFIELD","ENGINEERING","PC","A","2017",12.127,
"SVK","GRADRATEFIELD","ENGINEERING","PC","A","2018",12.434,
"ESP","GRADRATEFIELD","EDU","PC","A","2016",16.542,
"ESP","GRADRATEFIELD","EDU","PC","A","2017",16.401,
"ESP","GRADRATEFIELD","EDU","PC","A","2018",17.03,
"ESP","GRADRATEFIELD","HEALTH","PC","A","2016",15.999,
"ESP","GRADRATEFIELD","HEALTH","PC","A","2017",16.389,
"ESP","GRADRATEFIELD","HEALTH","PC","A","2018",16.818,
"ESP","GRADRATEFIELD","BUSINESS","PC","A","2016",18.642,
"ESP","GRADRATEFIELD","BUSINESS","PC","A","2017",18.928,
"ESP","GRADRATEFIELD","BUSINESS","PC","A","2018",19.343,
"ESP","GRADRATEFIELD","ENGINEERING","PC","A","2016",14.876,
"ESP","GRADRATEFIELD","ENGINEERING","PC","A","2017",14.225,
"ESP","GRADRATEFIELD","ENGINEERING","PC","A","2018",13.161,
"SWE","GRADRATEFIELD","EDU","PC","A","2016",12.216,
"SWE","GRADRATEFIELD","EDU","PC","A","2017",12.227,
"SWE","GRADRATEFIELD","EDU","PC","A","2018",12.989,
"SWE","GRADRATEFIELD","HEALTH","PC","A","2016",22.179,
"SWE","GRADRATEFIELD","HEALTH","PC","A","2017",23.056,
"SWE","GRADRATEFIELD","HEALTH","PC","A","2018",23.242,
"SWE","GRADRATEFIELD","BUSINESS","PC","A","2016",17.12,
"SWE","GRADRATEFIELD","BUSINESS","PC","A","2017",16.186,
"SWE","GRADRATEFIELD","BUSINESS","PC","A","2018",16.417,
"SWE","GRADRATEFIELD","ENGINEERING","PC","A","2016",18.319,
"SWE","GRADRATEFIELD","ENGINEERING","PC","A","2017",18.807,
"SWE","GRADRATEFIELD","ENGINEERING","PC","A","2018",18.278,
"CHE","GRADRATEFIELD","EDU","PC","A","2016",9.975,
"CHE","GRADRATEFIELD","EDU","PC","A","2017",9.655,
"CHE","GRADRATEFIELD","EDU","PC","A","2018",9.773,
"CHE","GRADRATEFIELD","HEALTH","PC","A","2016",14.867,
"CHE","GRADRATEFIELD","HEALTH","PC","A","2017",15.51,
"CHE","GRADRATEFIELD","HEALTH","PC","A","2018",15.468,
"CHE","GRADRATEFIELD","BUSINESS","PC","A","2016",28.763,
"CHE","GRADRATEFIELD","BUSINESS","PC","A","2017",28.566,
"CHE","GRADRATEFIELD","BUSINESS","PC","A","2018",28.497,
"CHE","GRADRATEFIELD","ENGINEERING","PC","A","2016",15.704,
"CHE","GRADRATEFIELD","ENGINEERING","PC","A","2017",15.838,
"CHE","GRADRATEFIELD","ENGINEERING","PC","A","2018",15.841,
"TUR","GRADRATEFIELD","EDU","PC","A","2016",9.604,
"TUR","GRADRATEFIELD","EDU","PC","A","2017",9.544,
"TUR","GRADRATEFIELD","EDU","PC","A","2018",9.281,
"TUR","GRADRATEFIELD","HEALTH","PC","A","2016",10.084,
"TUR","GRADRATEFIELD","HEALTH","PC","A","2017",12.34,
"TUR","GRADRATEFIELD","HEALTH","PC","A","2018",12.831,
"TUR","GRADRATEFIELD","BUSINESS","PC","A","2016",34.558,
"TUR","GRADRATEFIELD","BUSINESS","PC","A","2017",31.396,
"TUR","GRADRATEFIELD","BUSINESS","PC","A","2018",30.806,
"TUR","GRADRATEFIELD","ENGINEERING","PC","A","2016",14.222,
"TUR","GRADRATEFIELD","ENGINEERING","PC","A","2017",15.233,
"TUR","GRADRATEFIELD","ENGINEERING","PC","A","2018",15.326,
"GBR","GRADRATEFIELD","EDU","PC","A","2016",9.253,
"GBR","GRADRATEFIELD","EDU","PC","A","2017",8.743,
"GBR","GRADRATEFIELD","EDU","PC","A","2018",8.262,
"GBR","GRADRATEFIELD","HEALTH","PC","A","2016",13.433,
"GBR","GRADRATEFIELD","HEALTH","PC","A","2017",14.252,
"GBR","GRADRATEFIELD","HEALTH","PC","A","2018",14.691,
"GBR","GRADRATEFIELD","BUSINESS","PC","A","2016",22.043,
"GBR","GRADRATEFIELD","BUSINESS","PC","A","2017",22.07,
"GBR","GRADRATEFIELD","BUSINESS","PC","A","2018",22.249,
"GBR","GRADRATEFIELD","ENGINEERING","PC","A","2016",9.138,
"GBR","GRADRATEFIELD","ENGINEERING","PC","A","2017",9.083,
"GBR","GRADRATEFIELD","ENGINEERING","PC","A","2018",9.065,
"USA","GRADRATEFIELD","EDU","PC","A","2016",6.752,
"USA","GRADRATEFIELD","EDU","PC","A","2017",6.619,
"USA","GRADRATEFIELD","EDU","PC","A","2018",6.495,
"USA","GRADRATEFIELD","HEALTH","PC","A","2016",17.01,
"USA","GRADRATEFIELD","HEALTH","PC","A","2017",17.165,
"USA","GRADRATEFIELD","HEALTH","PC","A","2018",17.266,
"USA","GRADRATEFIELD","BUSINESS","PC","A","2016",19.304,
"USA","GRADRATEFIELD","BUSINESS","PC","A","2017",19.124,
"USA","GRADRATEFIELD","BUSINESS","PC","A","2018",19.079,
"USA","GRADRATEFIELD","ENGINEERING","PC","A","2016",6.929,
"USA","GRADRATEFIELD","ENGINEERING","PC","A","2017",7.174,
"USA","GRADRATEFIELD","ENGINEERING","PC","A","2018",7.24,
"ARG","GRADRATEFIELD","EDU","PC","A","2016",,"M"
"ARG","GRADRATEFIELD","EDU","PC","A","2017",,"M"
"ARG","GRADRATEFIELD","HEALTH","PC","A","2016",,"M"
"ARG","GRADRATEFIELD","HEALTH","PC","A","2017",,"M"
"ARG","GRADRATEFIELD","BUSINESS","PC","A","2016",,"M"
"ARG","GRADRATEFIELD","BUSINESS","PC","A","2017",,"M"
"ARG","GRADRATEFIELD","ENGINEERING","PC","A","2016",,"M"
"ARG","GRADRATEFIELD","ENGINEERING","PC","A","2017",,"M"
"BRA","GRADRATEFIELD","EDU","PC","A","2016",19.699,
"BRA","GRADRATEFIELD","EDU","PC","A","2017",20.346,
"BRA","GRADRATEFIELD","EDU","PC","A","2018",19.106,
"BRA","GRADRATEFIELD","HEALTH","PC","A","2016",13.944,
"BRA","GRADRATEFIELD","HEALTH","PC","A","2017",14.683,
"BRA","GRADRATEFIELD","HEALTH","PC","A","2018",16.319,
"BRA","GRADRATEFIELD","BUSINESS","PC","A","2016",35.564,
"BRA","GRADRATEFIELD","BUSINESS","PC","A","2017",33.488,
"BRA","GRADRATEFIELD","BUSINESS","PC","A","2018",32.483,
"BRA","GRADRATEFIELD","ENGINEERING","PC","A","2016",11.009,
"BRA","GRADRATEFIELD","ENGINEERING","PC","A","2017",11.964,
"BRA","GRADRATEFIELD","ENGINEERING","PC","A","2018",13.044,
"CHL","GRADRATEFIELD","EDU","PC","A","2016",15.054,
"CHL","GRADRATEFIELD","EDU","PC","A","2017",14.96,
"CHL","GRADRATEFIELD","EDU","PC","A","2018",14.069,
"CHL","GRADRATEFIELD","HEALTH","PC","A","2016",21.461,
"CHL","GRADRATEFIELD","HEALTH","PC","A","2017",21.667,
"CHL","GRADRATEFIELD","HEALTH","PC","A","2018",22.402,
"CHL","GRADRATEFIELD","BUSINESS","PC","A","2016",24.473,
"CHL","GRADRATEFIELD","BUSINESS","PC","A","2017",24.041,
"CHL","GRADRATEFIELD","BUSINESS","PC","A","2018",24.62,
"CHL","GRADRATEFIELD","ENGINEERING","PC","A","2016",15.53,
"CHL","GRADRATEFIELD","ENGINEERING","PC","A","2017",16.267,
"CHL","GRADRATEFIELD","ENGINEERING","PC","A","2018",16.759,
"CHN","GRADRATEFIELD","EDU","PC","A","2016",,"M"
"CHN","GRADRATEFIELD","EDU","PC","A","2017",,"M"
"CHN","GRADRATEFIELD","EDU","PC","A","2018",,"M"
"CHN","GRADRATEFIELD","HEALTH","PC","A","2016",,"M"
"CHN","GRADRATEFIELD","HEALTH","PC","A","2017",,"M"
"CHN","GRADRATEFIELD","HEALTH","PC","A","2018",,"M"
"CHN","GRADRATEFIELD","BUSINESS","PC","A","2016",,"M"
"CHN","GRADRATEFIELD","BUSINESS","PC","A","2017",,"M"
"CHN","GRADRATEFIELD","BUSINESS","PC","A","2018",,"M"
"CHN","GRADRATEFIELD","ENGINEERING","PC","A","2016",,"M"
"CHN","GRADRATEFIELD","ENGINEERING","PC","A","2017",,"M"
"CHN","GRADRATEFIELD","ENGINEERING","PC","A","2018",,"M"
"COL","GRADRATEFIELD","EDU","PC","A","2016",8.193,
"COL","GRADRATEFIELD","EDU","PC","A","2017",32.458,
"COL","GRADRATEFIELD","EDU","PC","A","2018",8.393,
"COL","GRADRATEFIELD","HEALTH","PC","A","2016",6.765,
"COL","GRADRATEFIELD","HEALTH","PC","A","2017",19.951,
"COL","GRADRATEFIELD","HEALTH","PC","A","2018",6.409,
"COL","GRADRATEFIELD","BUSINESS","PC","A","2016",45.927,
"COL","GRADRATEFIELD","BUSINESS","PC","A","2017",22.391,
"COL","GRADRATEFIELD","BUSINESS","PC","A","2018",45.968,
"COL","GRADRATEFIELD","ENGINEERING","PC","A","2016",16.729,
"COL","GRADRATEFIELD","ENGINEERING","PC","A","2017",10.711,
"COL","GRADRATEFIELD","ENGINEERING","PC","A","2018",16.922,
"CRI","GRADRATEFIELD","EDU","PC","A","2016",21.733,
"CRI","GRADRATEFIELD","EDU","PC","A","2017",21.384,
"CRI","GRADRATEFIELD","EDU","PC","A","2018",21.736,
"CRI","GRADRATEFIELD","HEALTH","PC","A","2016",14.244,
"CRI","GRADRATEFIELD","HEALTH","PC","A","2017",14.648,
"CRI","GRADRATEFIELD","HEALTH","PC","A","2018",13.835,
"CRI","GRADRATEFIELD","BUSINESS","PC","A","2016",36.09,
"CRI","GRADRATEFIELD","BUSINESS","PC","A","2017",35.605,
"CRI","GRADRATEFIELD","BUSINESS","PC","A","2018",36.676,
"CRI","GRADRATEFIELD","ENGINEERING","PC","A","2016",7.009,
"CRI","GRADRATEFIELD","ENGINEERING","PC","A","2017",7.505,
"CRI","GRADRATEFIELD","ENGINEERING","PC","A","2018",7.509,
"EST","GRADRATEFIELD","EDU","PC","A","2016",7.601,
"EST","GRADRATEFIELD","EDU","PC","A","2017",6.829,
"EST","GRADRATEFIELD","EDU","PC","A","2018",7.29,
"EST","GRADRATEFIELD","HEALTH","PC","A","2016",11.733,
"EST","GRADRATEFIELD","HEALTH","PC","A","2017",13,
"EST","GRADRATEFIELD","HEALTH","PC","A","2018",12.518,
"EST","GRADRATEFIELD","BUSINESS","PC","A","2016",24.04,
"EST","GRADRATEFIELD","BUSINESS","PC","A","2017",23.212,
"EST","GRADRATEFIELD","BUSINESS","PC","A","2018",22.786,
"EST","GRADRATEFIELD","ENGINEERING","PC","A","2016",14.188,
"EST","GRADRATEFIELD","ENGINEERING","PC","A","2017",14.952,
"EST","GRADRATEFIELD","ENGINEERING","PC","A","2018",14.751,
"IND","GRADRATEFIELD","EDU","PC","A","2016",9.122,
"IND","GRADRATEFIELD","EDU","PC","A","2017",7.162,
"IND","GRADRATEFIELD","EDU","PC","A","2018",8.05,
"IND","GRADRATEFIELD","HEALTH","PC","A","2016",3.239,
"IND","GRADRATEFIELD","HEALTH","PC","A","2017",3.34,
"IND","GRADRATEFIELD","HEALTH","PC","A","2018",3.481,
"IND","GRADRATEFIELD","BUSINESS","PC","A","2016",17.778,
"IND","GRADRATEFIELD","BUSINESS","PC","A","2017",18.966,
"IND","GRADRATEFIELD","BUSINESS","PC","A","2018",19.012,
"IND","GRADRATEFIELD","ENGINEERING","PC","A","2016",11.737,
"IND","GRADRATEFIELD","ENGINEERING","PC","A","2017",12.133,
"IND","GRADRATEFIELD","ENGINEERING","PC","A","2018",11.667,
"IDN","GRADRATEFIELD","EDU","PC","A","2017",26.617,
"IDN","GRADRATEFIELD","EDU","PC","A","2018",23.924,
"IDN","GRADRATEFIELD","HEALTH","PC","A","2017",17.082,
"IDN","GRADRATEFIELD","HEALTH","PC","A","2018",16.082,
"IDN","GRADRATEFIELD","BUSINESS","PC","A","2017",16.897,
"IDN","GRADRATEFIELD","BUSINESS","PC","A","2018",18.315,
"IDN","GRADRATEFIELD","ENGINEERING","PC","A","2017",7.165,
"IDN","GRADRATEFIELD","ENGINEERING","PC","A","2018",7.869,
"ISR","GRADRATEFIELD","EDU","PC","A","2016",,"M"
"ISR","GRADRATEFIELD","EDU","PC","A","2017",,"M"
"ISR","GRADRATEFIELD","EDU","PC","A","2018",,"M"
"ISR","GRADRATEFIELD","HEALTH","PC","A","2016",,"M"
"ISR","GRADRATEFIELD","HEALTH","PC","A","2017",,"M"
"ISR","GRADRATEFIELD","HEALTH","PC","A","2018",,"M"
"ISR","GRADRATEFIELD","BUSINESS","PC","A","2016",,"M"
"ISR","GRADRATEFIELD","BUSINESS","PC","A","2017",,"M"
"ISR","GRADRATEFIELD","BUSINESS","PC","A","2018",,"M"
"ISR","GRADRATEFIELD","ENGINEERING","PC","A","2016",,"M"
"ISR","GRADRATEFIELD","ENGINEERING","PC","A","2017",,"M"
"ISR","GRADRATEFIELD","ENGINEERING","PC","A","2018",,"M"
"LVA","GRADRATEFIELD","EDU","PC","A","2016",7.363,
"LVA","GRADRATEFIELD","EDU","PC","A","2017",4.141,
"LVA","GRADRATEFIELD","EDU","PC","A","2018",7.72,
"LVA","GRADRATEFIELD","HEALTH","PC","A","2016",14.257,
"LVA","GRADRATEFIELD","HEALTH","PC","A","2017",17.07,
"LVA","GRADRATEFIELD","HEALTH","PC","A","2018",17.484,
"LVA","GRADRATEFIELD","BUSINESS","PC","A","2016",30.647,
"LVA","GRADRATEFIELD","BUSINESS","PC","A","2017",30.52,
"LVA","GRADRATEFIELD","BUSINESS","PC","A","2018",28.471,
"LVA","GRADRATEFIELD","ENGINEERING","PC","A","2016",12.56,
"LVA","GRADRATEFIELD","ENGINEERING","PC","A","2017",12.785,
"LVA","GRADRATEFIELD","ENGINEERING","PC","A","2018",12.745,
"LTU","GRADRATEFIELD","EDU","PC","A","2016",6.539,
"LTU","GRADRATEFIELD","EDU","PC","A","2017",6.173,
"LTU","GRADRATEFIELD","EDU","PC","A","2018",5.947,
"LTU","GRADRATEFIELD","HEALTH","PC","A","2016",14.207,
"LTU","GRADRATEFIELD","HEALTH","PC","A","2017",16.974,
"LTU","GRADRATEFIELD","HEALTH","PC","A","2018",18.048,
"LTU","GRADRATEFIELD","BUSINESS","PC","A","2016",30.176,
"LTU","GRADRATEFIELD","BUSINESS","PC","A","2017",27.294,
"LTU","GRADRATEFIELD","BUSINESS","PC","A","2018",25.559,
"LTU","GRADRATEFIELD","ENGINEERING","PC","A","2016",17.532,
"LTU","GRADRATEFIELD","ENGINEERING","PC","A","2017",18.913,
"LTU","GRADRATEFIELD","ENGINEERING","PC","A","2018",19.441,
"RUS","GRADRATEFIELD","EDU","PC","A","2016",7.345,
"RUS","GRADRATEFIELD","EDU","PC","A","2017",5.622,
"RUS","GRADRATEFIELD","EDU","PC","A","2018",8.334,
"RUS","GRADRATEFIELD","HEALTH","PC","A","2016",6.106,
"RUS","GRADRATEFIELD","HEALTH","PC","A","2017",6.772,
"RUS","GRADRATEFIELD","HEALTH","PC","A","2018",7.625,
"RUS","GRADRATEFIELD","BUSINESS","PC","A","2016",33.149,
"RUS","GRADRATEFIELD","BUSINESS","PC","A","2017",31.304,
"RUS","GRADRATEFIELD","BUSINESS","PC","A","2018",27.262,
"RUS","GRADRATEFIELD","ENGINEERING","PC","A","2016",22.933,
"RUS","GRADRATEFIELD","ENGINEERING","PC","A","2017",22.572,
"RUS","GRADRATEFIELD","ENGINEERING","PC","A","2018",23.115,
"SAU","GRADRATEFIELD","EDU","PC","A","2016",14.745,
"SAU","GRADRATEFIELD","EDU","PC","A","2017",10.909,
"SAU","GRADRATEFIELD","EDU","PC","A","2018",13.35,
"SAU","GRADRATEFIELD","HEALTH","PC","A","2016",6.768,
"SAU","GRADRATEFIELD","HEALTH","PC","A","2017",5.893,
"SAU","GRADRATEFIELD","HEALTH","PC","A","2018",6.216,
"SAU","GRADRATEFIELD","BUSINESS","PC","A","2016",20.932,
"SAU","GRADRATEFIELD","BUSINESS","PC","A","2017",24.516,
"SAU","GRADRATEFIELD","BUSINESS","PC","A","2018",29.705,
"SAU","GRADRATEFIELD","ENGINEERING","PC","A","2016",7.679,
"SAU","GRADRATEFIELD","ENGINEERING","PC","A","2017",6.788,
"SAU","GRADRATEFIELD","ENGINEERING","PC","A","2018",7.957,
"SVN","GRADRATEFIELD","EDU","PC","A","2016",11.151,
"SVN","GRADRATEFIELD","EDU","PC","A","2017",11.213,
"SVN","GRADRATEFIELD","EDU","PC","A","2018",11.133,
"SVN","GRADRATEFIELD","HEALTH","PC","A","2016",8.361,
"SVN","GRADRATEFIELD","HEALTH","PC","A","2017",12.498,
"SVN","GRADRATEFIELD","HEALTH","PC","A","2018",12.11,
"SVN","GRADRATEFIELD","BUSINESS","PC","A","2016",23.247,
"SVN","GRADRATEFIELD","BUSINESS","PC","A","2017",20.343,
"SVN","GRADRATEFIELD","BUSINESS","PC","A","2018",20.48,
"SVN","GRADRATEFIELD","ENGINEERING","PC","A","2016",16.957,
"SVN","GRADRATEFIELD","ENGINEERING","PC","A","2017",16.557,
"SVN","GRADRATEFIELD","ENGINEERING","PC","A","2018",17.158,
"ZAF","GRADRATEFIELD","EDU","PC","A","2016",19.426,
"ZAF","GRADRATEFIELD","EDU","PC","A","2017",19.334,
"ZAF","GRADRATEFIELD","HEALTH","PC","A","2016",6.715,
"ZAF","GRADRATEFIELD","HEALTH","PC","A","2017",6.702,
"ZAF","GRADRATEFIELD","BUSINESS","PC","A","2016",33.174,
"ZAF","GRADRATEFIELD","BUSINESS","PC","A","2017",32.287,
"ZAF","GRADRATEFIELD","ENGINEERING","PC","A","2016",8.276,
"ZAF","GRADRATEFIELD","ENGINEERING","PC","A","2017",8.102,
